,Metro,State,zipcode,City,County
958,Dallas-Fort Worth-Arlington,TX,75063,Irving,Dallas County
959,Tuscaloosa,AL,35405,Tuscaloosa,Tuscaloosa County
960,Tampa-St. Petersburg-Clearwater,FL,33617,Temple Terrace,Hillsborough County
961,Allentown-Bethlehem-Easton,PA,18103,Allentown,Lehigh County
962,San Diego-Carlsbad,CA,91977,Spring Valley,San Diego County
963,Columbia,SC,29073,Lexington,Lexington County
964,Sacramento--Roseville--Arden-Arcade,CA,95831,Sacramento,Sacramento County
965,Stockton-Lodi,CA,95207,Stockton,San Joaquin County
966,Riverside-San Bernardino-Ontario,CA,92346,Highland,San Bernardino County
967,Columbus,OH,43016,Dublin,Franklin County
968,Killeen-Temple,TX,76542,Killeen,Bell County
969,Nashville-Davidson--Murfreesboro--Franklin,TN,37221,Nashville,Davidson County
970,San Diego-Carlsbad,CA,92037,San Diego,San Diego County
971,San Antonio-New Braunfels,TX,78233,San Antonio,Bexar County
972,Philadelphia-Camden-Wilmington,PA,19103,Philadelphia,Philadelphia County
973,Pittsburgh,PA,16001,Butler,Butler County
974,New York-Newark-Jersey City,NY,10469,New York,Bronx County
975,Los Angeles-Long Beach-Anaheim,CA,90049,Los Angeles,Los Angeles County
976,San Francisco-Oakland-Hayward,CA,94102,San Francisco,San Francisco County
977,Santa Maria-Santa Barbara,CA,93436,Lompoc,Santa Barbara County
978,Owensboro,KY,42301,Owensboro,Daviess County
979,Corvallis,OR,97330,Corvallis,Benton County
980,Winston-Salem,NC,27107,Winston-Salem,Forsyth County
981,Houston-The Woodlands-Sugar Land,TX,77072,Houston,Harris County
982,Houston-The Woodlands-Sugar Land,TX,77008,Houston,Harris County
983,Columbus,IN,47201,Columbus,Bartholomew County
984,Provo-Orem,UT,84043,Lehi,Utah County
985,Detroit-Warren-Dearborn,MI,48183,Trenton,Wayne County
986,Chicago-Naperville-Elgin,IL,60804,Cicero,Cook County
987,Los Angeles-Long Beach-Anaheim,CA,91406,Los Angeles,Los Angeles County
988,Seattle-Tacoma-Bellevue,WA,98270,Marysville,Snohomish County
989,San Francisco-Oakland-Hayward,CA,94121,San Francisco,San Francisco County
990,Wooster,OH,44691,Wooster,Wayne County
991,Deltona-Daytona Beach-Ormond Beach,FL,32725,Deltona,Volusia County
992,Sacramento--Roseville--Arden-Arcade,CA,95616,Davis,Yolo County
993,New York-Newark-Jersey City,NY,10312,New York,Richmond County
994,Palm Bay-Melbourne-Titusville,FL,32940,Melbourne,Brevard County
995,Los Angeles-Long Beach-Anaheim,CA,91706,Baldwin Park,Los Angeles County
996,Lynchburg,VA,24502,Lynchburg,Lynchburg City
997,Riverside-San Bernardino-Ontario,CA,92260,Palm Desert,Riverside County
998,Los Angeles-Long Beach-Anaheim,CA,90277,Redondo Beach,Los Angeles County
999,Indianapolis-Carmel-Anderson,IN,46226,Indianapolis,Marion County
1000,Los Angeles-Long Beach-Anaheim,CA,91766,Pomona,Los Angeles County
1001,Milwaukee-Waukesha-West Allis,WI,53215,Milwaukee,Milwaukee County
1002,Columbia,MO,65201,Columbia,Boone County
1003,Los Angeles-Long Beach-Anaheim,CA,91744,La Puente,Los Angeles County
1004,Miami-Fort Lauderdale-West Palm Beach,FL,33442,Deerfield Beach,Broward County
1005,Dallas-Fort Worth-Arlington,TX,75023,Plano,Collin County
1006,Minneapolis-St. Paul-Bloomington,MN,55112,New Brighton,Ramsey County
1007,Los Angeles-Long Beach-Anaheim,CA,92801,Anaheim,Orange County
1008,Fort Collins,CO,80537,Loveland,Larimer County
1009,Riverside-San Bernardino-Ontario,CA,92404,San Bernardino,San Bernardino County
1010,Sacramento--Roseville--Arden-Arcade,CA,95828,Florin,Sacramento County
1011,Columbus,OH,43224,Columbus,Franklin County
1012,Detroit-Warren-Dearborn,MI,48170,Plymouth,Wayne County
1013,New York-Newark-Jersey City,NY,11706,Islip,Suffolk County
1014,Bellingham,WA,98226,Bellingham,Whatcom County
1015,Philadelphia-Camden-Wilmington,PA,19403,West Norriton,Montgomery County
1016,Los Angeles-Long Beach-Anaheim,CA,90020,Los Angeles,Los Angeles County
1017,Los Angeles-Long Beach-Anaheim,CA,92780,Tustin,Orange County
1018,Miami-Fort Lauderdale-West Palm Beach,FL,33415,Greenacres,Palm Beach County
1019,Chicago-Naperville-Elgin,IL,60435,Joliet,Will County
1020,Miami-Fort Lauderdale-West Palm Beach,FL,33180,Aventura,Miami-Dade County
1021,Trenton,NJ,8540,Princeton,Mercer County
1022,Tucson,AZ,85711,Tucson,Pima County
1023,Pittsburgh,PA,15108,Moon,Allegheny County
1024,Boston-Cambridge-Newton,MA,1970,Salem,Essex County
1025,Lexington-Fayette,KY,40509,Lexington,Fayette County
1026,Morgantown,WV,26505,Morgantown,Monongalia County
1027,Atlanta-Sandy Springs-Roswell,GA,30064,Marietta,Cobb County
1028,Detroit-Warren-Dearborn,MI,48111,Van Buren,Wayne County
1029,Baltimore-Columbia-Towson,MD,21229,Baltimore,Baltimore City
1030,Seattle-Tacoma-Bellevue,WA,98004,Bellevue,King County
1031,Augusta-Richmond County,GA,30809,Evans,Columbia County
1032,Albuquerque,NM,87123,Albuquerque,Bernalillo County
1033,Eau Claire,WI,54703,Eau Claire,Eau Claire County
1034,Visalia-Porterville,CA,93291,Visalia,Tulare County
1035,Cedar Rapids,IA,52404,Cedar Rapids,Linn County
1036,San Antonio-New Braunfels,TX,78155,Seguin,Guadalupe County
1037,Cleveland-Elyria,OH,44212,Brunswick,Medina County
1038,New York-Newark-Jersey City,NY,11758,Massapequa,Nassau County
1039,Chicago-Naperville-Elgin,IL,60632,Chicago,Cook County
1040,Albuquerque,NM,87108,Albuquerque,Bernalillo County
1041,San Francisco-Oakland-Hayward,CA,94611,Oakland,Alameda County
1042,Albuquerque,NM,87110,Albuquerque,Bernalillo County
1043,Lincoln,NE,68516,Lincoln,Lancaster County
1044,Dubuque,IA,52001,Dubuque,Dubuque County
1045,Baton Rouge,LA,70810,Baton Rouge,East Baton Rouge Parish
1046,Baltimore-Columbia-Towson,MD,21044,Columbia,Howard County
1047,New York-Newark-Jersey City,NY,10461,New York,Bronx County
1048,Santa Cruz-Watsonville,CA,95060,Santa Cruz,Santa Cruz County
1049,Chattanooga,TN,37343,Chattanooga,Hamilton County
1050,Dalton,GA,30721,Dalton,Whitfield County
1051,Riverside-San Bernardino-Ontario,CA,92407,San Bernardino,San Bernardino County
1052,Olympia-Tumwater,WA,98501,Olympia,Thurston County
1053,Atlanta-Sandy Springs-Roswell,GA,30518,Sugar Hill,Gwinnett County
1054,Fairmont,WV,26554,Fairmont,Marion County
1055,Orlando-Kissimmee-Sanford,FL,32703,Apopka,Orange County
1056,Atlanta-Sandy Springs-Roswell,GA,30309,Atlanta,Fulton County
1057,Dallas-Fort Worth-Arlington,TX,75227,Dallas,Dallas County
1058,Sacramento--Roseville--Arden-Arcade,CA,95628,Fair Oaks,Sacramento County
1059,Sandusky,OH,44870,Sandusky,Erie County
1060,Houston-The Woodlands-Sugar Land,TX,77015,Houston,Harris County
1061,Grand Rapids-Wyoming,MI,49424,Holland,Ottawa County
1062,Portland-Vancouver-Hillsboro,OR,97202,Portland,Multnomah County
1063,Fond du Lac,WI,54935,Fond du Lac,Fond du Lac County
1064,Nashville-Davidson--Murfreesboro--Franklin,TN,37209,Nashville,Davidson County
1065,Phoenix-Mesa-Scottsdale,AZ,85018,Phoenix,Maricopa County
1066,Charleston-North Charleston,SC,29412,Charleston,Charleston County
1067,Houston-The Woodlands-Sugar Land,TX,77396,Atascocita,Harris County
1068,New York-Newark-Jersey City,NY,10022,New York,New York County
1069,Los Angeles-Long Beach-Anaheim,CA,91405,Los Angeles,Los Angeles County
1070,Seattle-Tacoma-Bellevue,WA,98105,Seattle,King County
1071,Dallas-Fort Worth-Arlington,TX,75126,Forney,Kaufman County
1072,Hattiesburg,MS,39402,Hattiesburg,Forrest County
1073,New Orleans-Metairie,LA,70115,New Orleans,Orleans Parish
1074,Houston-The Woodlands-Sugar Land,TX,77406,Richmond,Fort Bend County
1075,Orlando-Kissimmee-Sanford,FL,32708,Winter Springs,Seminole County
1076,Greenville-Anderson-Mauldin,SC,29615,Greenville,Greenville County
1077,Yuma,AZ,85365,Yuma,Yuma County
1078,Phoenix-Mesa-Scottsdale,AZ,85382,Peoria,Maricopa County
1079,New York-Newark-Jersey City,NJ,8854,Piscataway,Middlesex County
1080,Seattle-Tacoma-Bellevue,WA,98118,Seattle,King County
1081,New York-Newark-Jersey City,NY,11106,New York,New York County
1082,Michigan City-La Porte,IN,46350,La Porte,La Porte County
1083,Lafayette,LA,70508,Lafayette,Lafayette Parish
1084,Dallas-Fort Worth-Arlington,TX,75006,Carrollton,Denton County
1085,Phoenix-Mesa-Scottsdale,AZ,85260,Scottsdale,Maricopa County
1086,Sacramento--Roseville--Arden-Arcade,CA,95610,Citrus Heights,Sacramento County
1087,Detroit-Warren-Dearborn,MI,48843,Howell,Livingston County
1088,Los Angeles-Long Beach-Anaheim,CA,90813,Long Beach,Los Angeles County
1089,Riverside-San Bernardino-Ontario,CA,92324,Colton,San Bernardino County
1090,Houston-The Woodlands-Sugar Land,TX,77511,Alvin,Brazoria County
1091,Knoxville,TN,37920,Knoxville,Knox County
1092,Athens-Clarke County,GA,30605,Athens,Clarke County
1093,Pensacola-Ferry Pass-Brent,FL,32514,Pensacola,Escambia County
1094,Rochester,NY,14450,Perinton,Monroe County
1095,Greenville-Anderson-Mauldin,SC,29687,Taylors,Greenville County
1096,Los Angeles-Long Beach-Anaheim,CA,90803,Long Beach,Los Angeles County
1097,New York-Newark-Jersey City,NJ,8757,Berkeley,Ocean County
1098,San Francisco-Oakland-Hayward,CA,94550,Livermore,Alameda County
1099,Urban Honolulu,HI,96822,Honolulu,Honolulu County
1100,Oklahoma City,OK,73034,Edmond,Oklahoma County
1101,Baltimore-Columbia-Towson,MD,21221,Essex,Baltimore County
1102,Providence-Warwick,RI,2895,Woonsocket,Providence County
1103,Orlando-Kissimmee-Sanford,FL,32746,Lake Mary,Seminole County
1104,State College,PA,16801,State College,Centre County
1105,Los Angeles-Long Beach-Anaheim,CA,90503,Torrance,Los Angeles County
1106,Myrtle Beach-Conway-North Myrtle Beach,SC,29576,Murrells Inlet,Horry County
1107,Houston-The Woodlands-Sugar Land,TX,77040,Houston,Harris County
1108,Tucson,AZ,85719,Tucson,Pima County
1109,Cedar Rapids,IA,52402,Cedar Rapids,Linn County
1110,Baltimore-Columbia-Towson,MD,21401,Annapolis,Anne Arundel County
1111,San Francisco-Oakland-Hayward,CA,94577,San Leandro,Alameda County
1112,Providence-Warwick,MA,2703,Attleboro,Bristol County
1113,Los Angeles-Long Beach-Anaheim,CA,91601,Los Angeles,Los Angeles County
1114,Grand Rapids-Wyoming,MI,49423,Holland,Ottawa County
1115,Philadelphia-Camden-Wilmington,NJ,8081,Winslow,Camden County
1116,Phoenix-Mesa-Scottsdale,AZ,85044,Phoenix,Maricopa County
1117,Jacksonville,FL,32259,Fruit Cove,Saint Johns County
1118,New York-Newark-Jersey City,NJ,7712,Ocean,Monmouth County
1119,Peoria,IL,61554,Pekin,Tazewell County
1120,San Diego-Carlsbad,CA,92078,San Marcos,San Diego County
1121,Portland-Vancouver-Hillsboro,OR,97006,Beaverton,Washington County
1122,Stockton-Lodi,CA,95206,Stockton,San Joaquin County
1123,Clarksville,KY,42240,Hopkinsville,Christian County
1124,Buffalo-Cheektowaga-Niagara Falls,NY,14224,West Seneca,Erie County
1125,Columbus,OH,43204,Columbus,Franklin County
1126,Seattle-Tacoma-Bellevue,WA,98204,Paine Field-Lake Stickney,Snohomish County
1127,Boise City,ID,83686,Nampa,Canyon County
1128,St. Louis,MO,63033,Florissant,Saint Louis County
1129,Manitowoc,WI,54220,Manitowoc,Manitowoc County
1130,Louisville/Jefferson County,KY,40216,Louisville,Jefferson County
1131,Chicago-Naperville-Elgin,IL,60506,Aurora,Kane County
1132,Lexington-Fayette,KY,40517,Lexington,Fayette County
1133,Riverside-San Bernardino-Ontario,CA,91761,Ontario,San Bernardino County
1134,Allentown-Bethlehem-Easton,PA,18104,Allentown,Lehigh County
1135,San Francisco-Oakland-Hayward,CA,94546,Castro Valley,Alameda County
1136,Phoenix-Mesa-Scottsdale,AZ,85029,Phoenix,Maricopa County
1137,Houston-The Woodlands-Sugar Land,TX,77388,Spring,Harris County
1138,Spokane-Spokane Valley,WA,99205,Spokane,Spokane County
1139,Chicago-Naperville-Elgin,IL,60115,Dekalb,DeKalb County
1140,San Francisco-Oakland-Hayward,CA,94118,San Francisco,San Francisco County
1141,Cleveland-Elyria,OH,44111,Cleveland,Cuyahoga County
1142,Seattle-Tacoma-Bellevue,WA,98387,Spanaway,Pierce County
1143,San Antonio-New Braunfels,TX,78201,San Antonio,Bexar County
1144,Portland-Vancouver-Hillsboro,OR,97007,Beaverton,Washington County
1145,Washington-Arlington-Alexandria,VA,20148,Ashburn,Loudoun County
1146,Worcester,MA,1453,Leominster,Worcester County
1147,San Diego-Carlsbad,CA,92026,Escondido,San Diego County
1148,Washington-Arlington-Alexandria,MD,20902,Silver Spring,Montgomery County
1149,Montgomery,AL,36116,Montgomery,Montgomery County
1150,Denver-Aurora-Lakewood,CO,80233,Northglenn,Adams County
1151,Sacramento--Roseville--Arden-Arcade,CA,95678,Roseville,Placer County
1152,Los Angeles-Long Beach-Anaheim,CA,92692,Mission Viejo,Orange County
1153,Washington-Arlington-Alexandria,MD,20772,Greater Upper Marlboro,Prince Georges County
1154,Nashville-Davidson--Murfreesboro--Franklin,TN,37076,Nashville,Davidson County
1155,Seattle-Tacoma-Bellevue,WA,98023,Federal Way,King County
1156,New York-Newark-Jersey City,NJ,7104,Newark,Essex County
1157,Fargo,MN,56560,Moorhead,Clay County
1158,Dallas-Fort Worth-Arlington,TX,75062,Irving,Dallas County
1159,Bloomington,IL,61761,Normal,McLean County
1160,Roanoke,VA,24018,Roanoke,Roanoke City
1161,Seattle-Tacoma-Bellevue,WA,98258,Lake Stevens,Snohomish County
1162,Virginia Beach-Norfolk-Newport News,VA,23602,Newport News,Newport News City
1163,Chicago-Naperville-Elgin,IL,60201,Evanston,Cook County
1164,San Francisco-Oakland-Hayward,CA,94403,San Mateo,San Mateo County
1165,Miami-Fort Lauderdale-West Palm Beach,FL,33179,Ives Estates,Miami-Dade County
1166,Chicago-Naperville-Elgin,IL,60014,Crystal Lake,McHenry County
1167,New York-Newark-Jersey City,NY,11222,New York,Kings County
1168,Kingsport-Bristol-Bristol,TN,37620,Bristol,Sullivan County
1169,Kerrville,TX,78028,Kerrville,Kerr County
1170,Houston-The Woodlands-Sugar Land,TX,77089,Houston,Harris County
1171,Memphis,TN,38115,Memphis,Shelby County
1172,Chicago-Naperville-Elgin,IL,60126,Elmhurst,DuPage County
1173,New Haven-Milford,CT,6460,Milford,New Haven County
1174,Cincinnati,OH,45231,Finneytown,Hamilton County
1175,St. Louis,IL,62040,Granite City,Madison County
1176,Milwaukee-Waukesha-West Allis,WI,53202,Milwaukee,Milwaukee County
1177,El Paso,TX,79907,El Paso,El Paso County
1178,New York-Newark-Jersey City,NY,11432,New York,Queens County
1179,Rochester,NY,14609,Rochester,Monroe County
1180,Atlanta-Sandy Springs-Roswell,GA,30076,Roswell,Fulton County
1181,Sacramento--Roseville--Arden-Arcade,CA,95621,Citrus Heights,Sacramento County
1182,Boise City,ID,83642,Meridian,Ada County
1183,Raleigh,NC,27609,Raleigh,Wake County
1184,San Diego-Carlsbad,CA,92129,San Diego,San Diego County
1185,Miami-Fort Lauderdale-West Palm Beach,FL,33068,North Lauderdale,Broward County
1186,Phoenix-Mesa-Scottsdale,AZ,85209,Mesa,Maricopa County
1187,Boston-Cambridge-Newton,MA,2124,Boston,Suffolk County
1188,Bay City,MI,48706,Bangor Township,Bay County
1189,Dallas-Fort Worth-Arlington,TX,76112,Fort Worth,Tarrant County
1190,Houston-The Woodlands-Sugar Land,TX,77469,Richmond,Fort Bend County
1191,Phoenix-Mesa-Scottsdale,AZ,85041,Phoenix,Maricopa County
1192,Los Angeles-Long Beach-Anaheim,CA,91702,Azusa,Los Angeles County
1193,Riverside-San Bernardino-Ontario,CA,91762,Ontario,San Bernardino County
1194,Baltimore-Columbia-Towson,MD,21043,Ellicott City,Howard County
1195,New Bern,NC,28562,New Bern,Craven County
1196,San Diego-Carlsbad,CA,92114,San Diego,San Diego County
1197,Scranton--Wilkes-Barre--Hazleton,PA,18702,Wilkes-Barre,Luzerne County
1198,Moses Lake,WA,98837,Moses Lake,Grant County
1199,Toledo,OH,43551,Perrysburg,Wood County
1200,Orlando-Kissimmee-Sanford,FL,32835,Orlando,Orange County
1201,New York-Newark-Jersey City,NJ,7052,West Orange,Essex County
1202,Cedar Rapids,IA,52302,Marion,Linn County
1203,Augusta-Richmond County,SC,29803,Aiken,Aiken County
1204,San Antonio-New Braunfels,TX,78213,San Antonio,Bexar County
1205,Richmond,VA,23220,Richmond,Richmond City
1206,Miami-Fort Lauderdale-West Palm Beach,FL,33126,Miami,Miami-Dade County
1207,Salinas,CA,93906,Salinas,Monterey County
1208,New York-Newark-Jersey City,NJ,8724,Brick,Ocean County
1209,New York-Newark-Jersey City,NJ,8816,East Brunswick,Middlesex County
1210,Richmond,VA,23234,Richmond,Richmond City
1211,Minneapolis-St. Paul-Bloomington,MN,55416,Saint Louis Park,Hennepin County
1212,Naples-Immokalee-Marco Island,FL,34112,Naples,Collier County
1213,Fayetteville,NC,28306,Fayetteville,Cumberland County
1214,Laredo,TX,78046,Laredo,Webb County
1215,Denver-Aurora-Lakewood,CO,80011,Aurora,Arapahoe County
1216,Los Angeles-Long Beach-Anaheim,CA,91770,Rosemead,Los Angeles County
1217,Los Angeles-Long Beach-Anaheim,CA,90047,Los Angeles,Los Angeles County
1218,Chicago-Naperville-Elgin,IL,60440,Bolingbrook,Will County
1219,Los Angeles-Long Beach-Anaheim,CA,90003,Los Angeles,Los Angeles County
1220,Los Angeles-Long Beach-Anaheim,CA,90018,Los Angeles,Los Angeles County
1221,Atlanta-Sandy Springs-Roswell,GA,30097,Duluth,Gwinnett County
1222,Los Angeles-Long Beach-Anaheim,CA,90630,Cypress,Orange County
1223,Dallas-Fort Worth-Arlington,TX,76017,Arlington,Tarrant County
1224,Ogden-Clearfield,UT,84041,Layton,Davis County
1225,Cleveland-Elyria,OH,44118,Cleveland Heights,Cuyahoga County
1226,Indianapolis-Carmel-Anderson,IN,46220,Indianapolis,Marion County
1227,Dallas-Fort Worth-Arlington,TX,75214,Dallas,Dallas County
1228,St. Louis,MO,63122,Kirkwood,Saint Louis County
1229,Lafayette-West Lafayette,IN,47905,Lafayette,Tippecanoe County
1230,Jacksonville,FL,32224,Jacksonville,Duval County
1231,Los Angeles-Long Beach-Anaheim,CA,91343,Los Angeles,Los Angeles County
1232,Philadelphia-Camden-Wilmington,PA,19128,Philadelphia,Philadelphia County
1233,Cape Coral-Fort Myers,FL,33919,Fort Myers,Lee County
1234,Palm Bay-Melbourne-Titusville,FL,32780,Titusville,Brevard County
1235,Urban Honolulu,HI,96816,Honolulu,Honolulu County
1236,Phoenix-Mesa-Scottsdale,AZ,85206,Mesa,Maricopa County
1237,Minneapolis-St. Paul-Bloomington,MN,55408,Minneapolis,Hennepin County
1238,Pittsburgh,PA,15317,North Strabane,Washington County
1239,Akron,OH,44240,Kent,Portage County
1240,Dallas-Fort Worth-Arlington,TX,75248,Dallas,Dallas County
1241,Dallas-Fort Worth-Arlington,TX,76039,Euless,Tarrant County
1242,Los Angeles-Long Beach-Anaheim,CA,90247,Gardena,Los Angeles County
1243,Atlanta-Sandy Springs-Roswell,GA,30324,Atlanta,Fulton County
1244,Cookeville,TN,38501,Cookeville,Putnam County
1245,Greenville-Anderson-Mauldin,SC,29621,Anderson,Anderson County
1246,Ann Arbor,MI,48104,Ann Arbor,Washtenaw County
1247,Tucson,AZ,85706,Tucson,Pima County
1248,Los Angeles-Long Beach-Anaheim,CA,90016,Los Angeles,Los Angeles County
1249,Chicago-Naperville-Elgin,IL,60605,Chicago,Cook County
1250,Akron,OH,44203,Barberton,Summit County
1251,San Diego-Carlsbad,CA,91942,La Mesa,San Diego County
1252,Houston-The Woodlands-Sugar Land,TX,77339,Houston,Harris County
1253,Nashville-Davidson--Murfreesboro--Franklin,TN,37115,Nashville,Davidson County
1254,San Luis Obispo-Paso Robles-Arroyo Grande,CA,93446,Paso Robles,San Luis Obispo County
1255,Denver-Aurora-Lakewood,CO,80220,Denver,Denver County
1256,Philadelphia-Camden-Wilmington,PA,19460,Phoenixville,Chester County
1257,Miami-Fort Lauderdale-West Palm Beach,FL,33161,North Miami,Miami-Dade County
1258,Billings,MT,59101,Billings,Yellowstone County
1259,St. Louis,MO,63017,Chesterfield,Saint Louis County
1260,Oak Harbor,WA,98277,Oak Harbor,Island County
1261,Washington-Arlington-Alexandria,DC,20008,Washington,District of Columbia
1262,Charlottesville,VA,22903,Charlottesville,Albemarle County
1263,Milledgeville,GA,31061,Milledgeville,Baldwin County
1264,Jefferson City,MO,65109,Jefferson City,Cole County
1265,Greeley,CO,80631,Greeley,Weld County
1266,Columbia,SC,29210,Columbia,Richland County
1267,Cumberland,MD,21502,Cumberland,Allegany County
1268,Bend-Redmond,OR,97756,Redmond,Deschutes County
1269,Philadelphia-Camden-Wilmington,PA,18974,Warminster,Bucks County
1270,Charleston-North Charleston,SC,29407,Charleston,Charleston County
1271,Washington-Arlington-Alexandria,DC,20003,Washington,District of Columbia
1272,Portland-Vancouver-Hillsboro,OR,97123,Hillsboro,Washington County
1273,Vallejo-Fairfield,CA,94590,Vallejo,Solano County
1274,Waterloo-Cedar Falls,IA,50613,Cedar Falls,Black Hawk County
1275,Sacramento--Roseville--Arden-Arcade,CA,95822,Sacramento,Sacramento County
1276,Cape Coral-Fort Myers,FL,33904,Cape Coral,Lee County
1277,Bozeman,MT,59718,Bozeman,Gallatin County
1278,Denver-Aurora-Lakewood,CO,80210,Denver,Denver County
1279,New York-Newark-Jersey City,NJ,7960,Morris,Morris County
1280,Boston-Cambridge-Newton,MA,1752,Marlborough,Middlesex County
1281,San Francisco-Oakland-Hayward,CA,94114,San Francisco,San Francisco County
1282,Los Angeles-Long Beach-Anaheim,CA,90043,Los Angeles,Los Angeles County
1283,Orlando-Kissimmee-Sanford,FL,34746,Kissimmee,Osceola County
1284,North Port-Sarasota-Bradenton,FL,34203,Bradenton,Manatee County
1285,Cleveland-Elyria,OH,44094,Willoughby,Lake County
1286,The Villages,FL,32159,The Villages,Sumter County
1287,Orlando-Kissimmee-Sanford,FL,34786,Windermere,Orange County
1288,Atlanta-Sandy Springs-Roswell,GA,30339,Vinings,Cobb County
1289,Los Angeles-Long Beach-Anaheim,CA,91304,Los Angeles,Los Angeles County
1290,Boulder,CO,80501,Longmont,Boulder County
1291,Miami-Fort Lauderdale-West Palm Beach,FL,33165,University Park,Miami-Dade County
1292,Seattle-Tacoma-Bellevue,WA,98033,Kirkland,King County
1293,Los Angeles-Long Beach-Anaheim,CA,90037,Los Angeles,Los Angeles County
1294,Ann Arbor,MI,48198,Superior,Washtenaw County
1295,Allentown-Bethlehem-Easton,PA,18102,Allentown,Lehigh County
1296,Urban Honolulu,HI,96818,Honolulu,Honolulu County
1297,Houston-The Woodlands-Sugar Land,TX,77088,Houston,Harris County
1298,Pittsburgh,PA,15068,Lower Burrell,Westmoreland County
1299,Denver-Aurora-Lakewood,CO,80127,Ken Caryl,Jefferson County
1300,St. Louis,MO,63026,Fenton,Saint Louis County
1301,Johnson City,TN,37604,Johnson City,Washington County
1302,Phoenix-Mesa-Scottsdale,AZ,85020,Phoenix,Maricopa County
1303,New York-Newark-Jersey City,NY,11217,New York,Kings County
1304,Denver-Aurora-Lakewood,CO,80231,Denver,Denver County
1305,Seattle-Tacoma-Bellevue,WA,98042,Kent,King County
1306,Tucson,AZ,85713,Tucson,Pima County
1307,Charlotte-Concord-Gastonia,NC,28226,Charlotte,Mecklenburg County
1308,San Antonio-New Braunfels,TX,78229,San Antonio,Bexar County
1309,Los Angeles-Long Beach-Anaheim,CA,93551,Palmdale,Los Angeles County
1310,Los Angeles-Long Beach-Anaheim,CA,92870,Placentia,Orange County
1311,Los Angeles-Long Beach-Anaheim,CA,90022,East Los Angeles,Los Angeles County
1312,Canton-Massillon,OH,44720,North Canton,Stark County
1313,Denver-Aurora-Lakewood,CO,80401,Golden,Jefferson County
1314,Houston-The Woodlands-Sugar Land,TX,77024,Houston,Harris County
1315,New York-Newark-Jersey City,NY,11772,Patchogue,Suffolk County
1316,Minneapolis-St. Paul-Bloomington,MN,55125,Woodbury,Washington County
1317,Johnson City,TN,37601,Johnson City,Washington County
1318,Miami-Fort Lauderdale-West Palm Beach,FL,33435,Boynton Beach,Palm Beach County
1319,San Jose-Sunnyvale-Santa Clara,CA,95124,San Jose,Santa Clara County
1320,Cleveland-Elyria,OH,44109,Cleveland,Cuyahoga County
1321,St. George,UT,84790,Saint George,Washington County
1322,San Francisco-Oakland-Hayward,CA,94103,San Francisco,San Francisco County
1323,Auburn,NY,13021,Auburn,Cayuga County
1324,Jackson,MS,39110,Madison,Madison County
1325,Jacksonville,FL,32257,Jacksonville,Duval County
1326,San Diego-Carlsbad,CA,92028,Fallbrook,San Diego County
1327,Los Angeles-Long Beach-Anaheim,CA,90005,Los Angeles,Los Angeles County
1328,San Antonio-New Braunfels,TX,78109,Converse,Bexar County
1329,Phoenix-Mesa-Scottsdale,AZ,85234,Gilbert,Maricopa County
1330,Riverside-San Bernardino-Ontario,CA,92211,Palm Desert,Riverside County
1331,Indianapolis-Carmel-Anderson,IN,46237,Indianapolis,Marion County
1332,Owensboro,KY,42303,Owensboro,Daviess County
1333,Tampa-St. Petersburg-Clearwater,FL,34667,Hudson,Pasco County
1334,Baton Rouge,LA,70737,Gonzales,Ascension Parish
1335,Dallas-Fort Worth-Arlington,TX,75104,Cedar Hill,Dallas County
1336,Washington-Arlington-Alexandria,MD,20854,Potomac,Montgomery County
1337,San Francisco-Oakland-Hayward,CA,94010,Burlingame,San Mateo County
1338,Winston-Salem,NC,27103,Winston-Salem,Forsyth County
1339,Killeen-Temple,TX,76502,Temple,Bell County
1340,Stockton-Lodi,CA,95336,Manteca,San Joaquin County
1341,Coeur d'Alene,ID,83854,Post Falls,Kootenai County
1342,Corpus Christi,TX,78414,Corpus Christi,Nueces County
1343,New York-Newark-Jersey City,NY,10065,New York,New York County
1344,Chicago-Naperville-Elgin,IL,60089,Buffalo Grove,Lake County
1345,Houston-The Woodlands-Sugar Land,TX,77581,Pearland,Brazoria County
1346,San Diego-Carlsbad,CA,92111,San Diego,San Diego County
1347,Los Angeles-Long Beach-Anaheim,CA,90045,Los Angeles,Los Angeles County
1348,Washington-Arlington-Alexandria,VA,20176,Leesburg,Loudoun County
1349,Chicago-Naperville-Elgin,IL,60010,Barrington,Cook County
1350,Virginia Beach-Norfolk-Newport News,VA,23669,Hampton,Hampton City
1351,Detroit-Warren-Dearborn,MI,48073,Royal Oak,Oakland County
1352,Pensacola-Ferry Pass-Brent,FL,32566,Navarre,Santa Rosa County
1353,Elkhart-Goshen,IN,46514,Elkhart,Elkhart County
1354,Columbus,OH,43201,Columbus,Franklin County
1355,Baltimore-Columbia-Towson,MD,21220,Middle River,Baltimore County
1356,Akron,OH,44224,Stow,Summit County
1357,Walla Walla,WA,99362,Walla Walla,Walla Walla County
1358,Dallas-Fort Worth-Arlington,TX,76108,Fort Worth,Tarrant County
1359,Houston-The Woodlands-Sugar Land,TX,77099,Houston,Harris County
1360,Midland,TX,79705,Midland,Midland County
1361,Watertown-Fort Drum,NY,13601,Watertown,Jefferson County
1362,Memphis,TN,38128,Memphis,Shelby County
